"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
105134,2,6,2,-9
105161,-8,-8,-8,-8
105201,2,7,2,-9
105202,2,7,2,0.241
105205,2,7,2,-0.137
105207,2,7,2,-1.282
105208,-4,-4,-4,-4
105209,1,7,2,0.539
105211,2,7,7,1.951
105213,2,4,6,-0.143
105216,2,7,5,-9
105217,2,7,4,0.812
105218,2,7,2,-0.898
105219,1,7,3,0.733
105220,1,7,2,0.052
105221,2,7,2,-0.898
105226,1,7,2,1.001
105227,2,7,7,1.191
105228,2,7,4,-1.282
106101,2,7,6,1.464
106102,2,7,6,1.756
106103,1,7,3,-1
106104,2,7,6,1.007
106105,2,7,5,-0.898
106106,2,6,1,-0.703
106107,1,7,4,-0.898
106108,2,7,2,0.32
106109,2,7,3,0.052
106110,2,7,5,-1.847
106111,1,5,7,1.951
106112,-4,-4,-4,-4
106113,1,7,2,-1.579
106114,2,7,2,1.196
106115,1,7,6,0.996
106117,-4,-4,-4,-4
106119,2,7,2,1.293
106122,2,7,4,-0.332
106124,1,7,2,0.783
106125,2,7,5,1.196
106126,2,7,2,1.951
106127,2,7,3,0.247
106128,2,7,4,1.196
106129,2,7,6,1.951
106201,1,7,6,-4
106202,1,7,2,1.494
106203,2,7,5,-0.137
106204,1,7,3,-1.087
106206,2,7,2,1.762
106207,1,7,2,-1.093
106208,1,7,3,-0.898
106209,1,2,3,0.704
106210,1,7,4,-0.892
106211,2,7,2,-0.137
106212,1,6,2,-1.093
106213,2,7,2,1.27
107101,2,7,2,0.406
107102,1,7,2,1.385
107104,2,7,2,-4
107105,1,7,2,-0.435
107106,1,7,3,-1.166
107107,1,7,7,0.131
107108,2,6,3,-1.847
107109,1,7,2,-0.137
107110,1,7,5,-0.435
107111,2,7,5,-0.703
107112,2,7,3,-0.435
107113,2,7,4,-0.137
107114,2,7,2,-1.55
107115,1,7,2,-0.435
107116,2,2,7,-0.137
107117,2,7,5,-4
107119,1,7,2,-0.435
107120,1,7,1,-4
107121,1,6,4,-0.435
107122,1,5,2,-4
107123,1,7,3,-0.216
107124,1,7,2,-0.137
107125,1,7,3,-0.137
107126,1,7,2,-4
107127,1,7,4,-0.137
107128,2,7,4,-0.137
107129,1,7,6,1.385
107130,1,7,2,-4
107131,1,7,2,-4
107132,1,7,2,-4
107201,2,7,2,-0.143
107202,1,7,2,-1.087
107203,2,5,2,-9
107204,1,7,4,-1.847
107206,1,7,4,-9
107207,2,7,2,0.515
107208,1,5,3,-1.361
107209,2,7,4,-1.195
107210,1,7,2,0.812
107211,2,3,3,-1.087
107212,1,7,5,-0.63
107213,1,6,6,-9
107215,1,7,2,-1.579
107216,1,7,2,-1.579
107217,1,7,2,-9
107218,2,4,2,-0.898
107219,1,7,3,-1.847
107220,1,7,6,-0.441
107221,1,7,2,-1.087
107222,1,7,4,-9
107223,1,7,4,-9
107224,2,7,4,-9
107225,1,7,2,-9
107226,1,2,1,0.052
107229,1,7,2,-0.898
107231,1,7,2,0.509
107232,2,7,5,-9
108101,2,7,6,-4
108103,1,7,7,-4
108105,2,2,8,1.191
108106,2,7,6,-4
108107,1,2,7,-4
108109,2,7,6,1.494
108110,1,7,7,-4
108111,1,2,6,-4
108115,2,7,7,-9
108117,1,7,6,-4
108120,2,7,6,-4
108122,2,7,8,-4
108125,1,2,6,-4
108126,2,2,6,-4
108127,2,7,2,0.355
108128,2,7,7,-4
108129,2,7,7,-4
108201,2,7,2,-0.977
