"STU_ID","BYSEX","BYRACE","BYMOTHED","BYTXMSTD","F1TXMSTD"
104202,1,7,3,56.39,60.99
104203,1,6,6,60.56,66.48
104204,2,7,6,63.13,62.56
104205,1,7,3,47.65,54.37
104206,1,7,5,55.13,55.68
104207,2,7,4,46.98,43.51
104208,1,7,6,62.4,58.96
104209,2,7,2,58.3,67.31
104211,2,7,6,55.22,57.21
104212,2,7,2,43.16,44.77
104213,1,7,2,64.07,64.28
104214,2,2,2,61.61,56.83
104215,1,7,2,44.37,27.72
104216,1,7,6,51.09,55.97
104217,2,7,2,48.3,-8
104218,2,6,1,51.2,-8
104220,2,7,6,54.99,56.38
104222,1,2,6,60.61,61.24
104223,1,7,8,69.29,71.7
104224,1,7,6,47.76,47.45
104225,1,7,5,59.27,-8
104228,2,7,5,59.15,-8
104231,2,7,3,56.9,59.22
105101,2,7,2,41.8,37.91
105102,2,7,2,64.71,62.23
105103,1,7,7,47.36,51.28
105104,1,7,2,53.25,53.02
105105,1,7,6,49.27,45.08
105106,2,7,2,52.65,52.87
105107,1,7,2,64.35,63.83
105108,1,6,3,31,-8
105109,1,7,2,60.66,-8
105110,1,7,2,44.85,44.58
105111,1,7,1,43.18,43.12
105112,1,7,7,61.61,58.18
105113,1,7,2,47.63,43.71
105114,2,7,1,52.82,52.61
105115,2,7,2,49.32,55.25
105116,1,7,4,44.55,46.89
105117,1,7,6,49.87,45.88
105118,2,7,3,65.92,58.43
105119,2,2,2,61.22,56.31
105120,2,7,2,32.29,31.6
105121,2,7,2,55.9,54.2
105122,2,7,2,48.44,-8
105123,1,7,3,49.82,54.98
105124,2,7,3,37.97,-8
105125,2,7,1,50.79,50.59
105126,1,7,2,52.45,47.21
105127,2,7,2,45.41,41.75
105128,2,7,6,55.47,49.8
105129,2,7,6,68.41,66.81
105130,2,7,2,51.63,52.66
105132,1,7,2,57.67,58.3
105133,2,7,1,39.55,37.83
105134,2,6,2,56.54,51.57
105161,-8,-8,-8,-8,55.43
105201,2,7,2,52.31,36.18
105202,2,7,2,49.39,35.63
105205,2,7,2,51.79,53.51
105207,2,7,2,36.83,38.21
105208,-4,-4,-4,57.49,54.72
105209,1,7,2,53.26,43.41
105211,2,7,7,56.71,60.29
105213,2,4,6,41.62,36.27
105216,2,7,5,47.63,53.22
105217,2,7,4,45.22,43.94
105218,2,7,2,40.87,41.17
105219,1,7,3,43.75,41.59
105220,1,7,2,52.87,57.26
105221,2,7,2,37.02,-8
105226,1,7,2,61.08,62.06
105227,2,7,7,59.07,65.22
105228,2,7,4,42.97,37.83
106101,2,7,6,58.73,61.52
106102,2,7,6,53.11,55.36
106103,1,7,3,58.88,47.64
106104,2,7,6,58.6,58.59
106105,2,7,5,43.33,37.75
106106,2,6,1,48.6,41.34
106107,1,7,4,47.41,50.4
106108,2,7,2,67.1,66.47
106109,2,7,3,42.6,-8
106110,2,7,5,34.28,33.84
106111,1,5,7,63.8,62.94
106112,-4,-4,-4,48.78,42.99
106113,1,7,2,60.93,34.49
106114,2,7,2,63.07,56.73
106115,1,7,6,62.77,50.97
106117,-4,-4,-4,57.98,58.1
106119,2,7,2,54.71,49.86
106122,2,7,4,49.84,-8
106124,1,7,2,52.61,57.12
106125,2,7,5,56.27,51.46
106126,2,7,2,49.97,64.71
106127,2,7,3,60.52,59.44
106128,2,7,4,63.08,54.21
106129,2,7,6,64.44,63.97
106201,1,7,6,53.13,50.23
106202,1,7,2,63.32,68.19
106203,2,7,5,57.66,52.85
106204,1,7,3,49,47.94
106206,2,7,2,58.07,56.24
106207,1,7,2,58.32,47.99
106208,1,7,3,62.13,64.97
106209,1,2,3,55.83,57.88
106210,1,7,4,56.31,54.92
106211,2,7,2,56.37,49.75
106212,1,6,2,50.45,49.99
106213,2,7,2,59.54,63.69
107101,2,7,2,62,65.13
107102,1,7,2,64.89,64.28
107104,2,7,2,36.83,39.91
107105,1,7,2,50.68,47.83
107106,1,7,3,51.86,46.29
107107,1,7,7,60.87,56.98
107108,2,6,3,40.27,38.49
107109,1,7,2,49.22,49.95
